offset,seed,n_estimators,avg_f1
0.5,1409,100,0.560462609125795
0.5,1409,150,0.5577704806382139
0.5,1255,250,0.5572942300245829
0.5,1255,150,0.5552100505952349
0.5,1262,200,0.5540067572507384
0.5,1297,300,0.5524260330655052
0.5,1262,150,0.5520442147831839
0.5,1255,300,0.5512209915215693
0.5,1255,200,0.5511590313167465
0.5,1262,250,0.5497023798094665
0.5,1269,200,0.5486756744162048
0.5,1395,150,0.5481261467965448
0.5,1297,150,0.5473726954907556
0.5,1402,300,0.5465919421940477
0.5,1269,150,0.5464842843563174
0.5,1395,200,0.5462986665758912
0.5,1269,250,0.5462632966729807
0.5,1395,300,0.5459255703538466
0.5,1409,200,0.5459122243759508
0.5,1262,300,0.5458023662206358
0.5,1297,200,0.5454392685377931
0.5,1437,50,0.5452754056924792
0.5,1297,250,0.544632216462525
0.5,1402,250,0.5439623408636757
0.5,1262,100,0.5437620939895718
0.5,1395,250,0.543132890541803
0.5,1388,250,0.5428783683472087
0.5,1437,300,0.5418337514126048
0.5,1388,300,0.5416189023420425
0.5,1255,100,0.5414772235919555
0.5,1409,50,0.5414113127227766
0.5,1402,200,0.5404926172178425
0.5,1269,300,0.5403662281980539
0.5,1248,300,0.5403090045094221
0.5,1423,250,0.5397854812730583
0.5,1409,300,0.5385424771101774
0.5,1248,250,0.5379292824653595
0.5,1423,300,0.5375321720428932
0.5,1332,25,0.5370822825295644
0.5,1290,100,0.5366176434567771
0.5,1437,250,0.536025263011174
0.5,1437,200,0.5348863129134747
0.5,1437,100,0.5347886189206648
0.5,1409,250,0.5343147169168747
0.5,1437,150,0.5341179910432956
0.5,1367,250,0.5339942506672923
0.5,1416,300,0.5338257887639788
0.5,1395,100,0.5336358254970167
0.5,1374,100,0.533515137009746
0.5,1290,300,0.5333518641660577
0.5,1248,100,0.5332367646667457
0.5,1311,250,0.5330305494025228
0.5,1290,250,0.5326898344300784
0.5,1353,300,0.5326885003152316
0.5,1402,150,0.5325753627664008
0.5,1423,200,0.5320832213242465
0.5,1332,100,0.5320232968278569
0.5,1290,200,0.5315903573241514
0.5,1248,50,0.5315832265994913
0.5,1332,300,0.5311786488498673
0.5,1374,50,0.5310200285244674
0.5,1388,200,0.5301148399595946
0.5,1248,150,0.5299762224647014
0.5,1367,200,0.5291712491378188
0.5,1367,300,0.5288991093541618
0.5,1374,150,0.5287911782907819
0.5,1332,250,0.528162097325631
0.5,1367,150,0.5278505232301425
0.5,1374,25,0.5277289017168603
0.5,1437,25,0.5271292448318652
0.5,1332,200,0.5271284037189694
0.5,1430,300,0.5270315456364404
0.5,1374,250,0.5269554682623385
