param_offset,param_seed,param_n_estimators,mean_test_score,std_test_score
0.5,1409,100,0.560462609125795,0.016740707573712137
0.5,1409,150,0.5577704806382139,0.02296233379824956
0.5,1255,250,0.5572942300245829,0.022553480313555897
0.5,1255,150,0.5552100505952349,0.014468836455189683
0.5,1262,200,0.5540067572507384,0.037231686467669174
0.5,1297,300,0.5524260330655052,0.021179858197446187
0.5,1262,150,0.5520442147831839,0.027386259988724244
0.5,1255,300,0.5512209915215693,0.022137086618088206
0.5,1255,200,0.5511590313167465,0.02315717813813196
0.5,1262,250,0.5497023798094665,0.02950267650859332
0.5,1269,200,0.5486756744162048,0.02449118944087333
0.5,1395,150,0.5481261467965448,0.022286014936237154
0.5,1297,150,0.5473726954907556,0.025102499185249903
0.5,1402,300,0.5465919421940477,0.025902527788977375
0.5,1269,150,0.5464842843563174,0.029105477934441876
0.5,1395,200,0.5462986665758912,0.02113478151630377
0.5,1269,250,0.5462632966729807,0.029548778417763436
0.5,1395,300,0.5459255703538466,0.026551161418742936
0.5,1409,200,0.5459122243759508,0.02814854905581878
0.5,1262,300,0.5458023662206358,0.027599459164972452
0.5,1297,200,0.5454392685377931,0.025358589960991273
0.5,1437,50,0.5452754056924792,0.014972685874937015
0.5,1297,250,0.544632216462525,0.02497647167866012
0.5,1402,250,0.5439623408636757,0.02246545366514941
0.5,1262,100,0.5437620939895718,0.03498542631908178
0.5,1395,250,0.543132890541803,0.02372265857579789
0.5,1388,250,0.5428783683472087,0.011067802535006744
0.5,1437,300,0.5418337514126048,0.024233384550254127
0.5,1388,300,0.5416189023420425,0.0116248027570599
0.5,1255,100,0.5414772235919555,0.01778023570386699
0.5,1409,50,0.5414113127227766,0.023135903822658295
0.5,1402,200,0.5404926172178425,0.03282405216978958
0.5,1269,300,0.5403662281980539,0.03527364559518339
0.5,1248,300,0.5403090045094221,0.027435756457030697
0.5,1423,250,0.5397854812730583,0.0191928743534038
0.5,1409,300,0.5385424771101774,0.025466611897388258
0.5,1248,250,0.5379292824653595,0.02097962361145677
0.5,1423,300,0.5375321720428932,0.019719296812679556
0.5,1332,25,0.5370822825295644,0.02257219852570605
0.5,1290,100,0.5366176434567771,0.02002889825750911
0.5,1437,250,0.536025263011174,0.025283261310237167
0.5,1437,200,0.5348863129134747,0.022260534517039663
0.5,1437,100,0.5347886189206648,0.024163148918344646
0.5,1409,250,0.5343147169168747,0.025867842104967332
0.5,1437,150,0.5341179910432956,0.02167298059294512
0.5,1367,250,0.5339942506672923,0.03195934906011523
0.5,1416,300,0.5338257887639788,0.027912299345917855
0.5,1395,100,0.5336358254970167,0.02050550362515113
0.5,1374,100,0.533515137009746,0.025056052294184943
0.5,1290,300,0.5333518641660577,0.012813202758460766
0.5,1248,100,0.5332367646667457,0.02739866987277521
0.5,1311,250,0.5330305494025228,0.026515084255947174
0.5,1290,250,0.5326898344300784,0.012689509163816396
0.5,1353,300,0.5326885003152316,0.012803964240872037
0.5,1402,150,0.5325753627664008,0.035778865004259156
0.5,1423,200,0.5320832213242465,0.012327351343069412
0.5,1332,100,0.5320232968278569,0.022715770331853947
0.5,1290,200,0.5315903573241514,0.01840288836683607
0.5,1248,50,0.5315832265994913,0.019505511661123305
0.5,1332,300,0.5311786488498673,0.024608825545631048
0.5,1374,50,0.5310200285244674,0.02200632436382775
0.5,1388,200,0.5301148399595946,0.019644970225351704
0.5,1248,150,0.5299762224647014,0.025696026754178484
0.5,1367,200,0.5291712491378188,0.03679043176277805
0.5,1367,300,0.5288991093541618,0.030902133984688225
0.5,1374,150,0.5287911782907819,0.024383445379446617
0.5,1332,250,0.528162097325631,0.020466538394679278
0.5,1367,150,0.5278505232301425,0.03890900340427059
0.5,1374,25,0.5277289017168603,0.02655501953061316
0.5,1437,25,0.5271292448318652,0.030136791102509955
0.5,1332,200,0.5271284037189694,0.019694105459991996
0.5,1430,300,0.5270315456364404,0.019777629954423757
0.5,1374,250,0.5269554682623385,0.01889984724742118
0.5,1346,150,0.5266723290034433,0.029981471560222062
